Peugeot;2008;1.6 e-HDi 92 FAP BVM5 Urban Cross Jaune Citrus ;Tout-Terrain;5;22 800 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 10.4; 205/50 r17 vce pneu en dunlop; 205/50 r17 vces pneus pas cher; 4,16  / 1,74  / 1,56 ; 2.54; 50 l;1160;1684;350;1194; 1275 kg; 181 km/h; 11.5 s; 4.7 l/100 km; 3.6 l/100 km; 4 l/100 km; 103 g/km;5;5; euro 5; 24ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 10.4 m; 205/50 R17 VCe pneu en Dunlop; 205/50 R17 VCes pneus pas cher;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;2008;1.6 e-HDi 92 FAP BVM5 Urban Cross Orange ;Tout-Terrain;5;22 800 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 10.4; 205/50 r17 vce pneu en dunlop; 205/50 r17 vce pneu en bridgestone; 4,16  / 1,74  / 1,56 ; 2.54; 50 l;1160;1684;350;1194; 1275 kg; 181 km/h; 11.5 s; 4.7 l/100 km; 3.6 l/100 km; 4 l/100 km; 103 g/km;5;5; euro 5; 24ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 10.4 m; 205/50 R17 VCe pneu en Dunlop; 205/50 R17 VCe pneu en Bridgestone;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;Partner Fourgon;120 L2 CONFORT ;Fourgonnette;6;32 580 €;Electrique;0 cylindres en no link;0s; 0 cm3; 6 cv;67;49 kw; 200 nm à 0 tr/min; traction avant;Automatique;automate à fonct. continu;0 vitesses;11; 195/70 r15 tce pneu en continental; 195/70 r15 tce pneu en continental; 4,63  / 1,81  / 1,82 ; 2.73; 0 l;1569;2180;0;0; 0 kg; 110 km/h; 19.1 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 0 g/km;4;2; euro 5; 0ois 0 km; Traction avant; Automate à fonct. Continu, 0 vitesses; 11 m; 195/70 R15 TCe pneu en Continental; 195/70 R15 TCe pneu en Continental;VU;Non;Non;Non;Non;Non;Non
Peugeot;Partner Fourgon;120 L1 CONFORT ;Fourgonnette;6;31 320 €;Electrique;0 cylindres en no link;0s; 0 cm3; 6 cv;67;49 kw; 200 nm à 0 tr/min; traction avant;Automatique;automate à fonct. continu;0 vitesses;11; 195/70 r15 tces pneus pas cher; 195/70 r15 tce pneu en promo; 4,38  / 1,81  / 1,82 ; 2.73; 0 l;1530;2225;0;0; 0 kg; 110 km/h; 18.7 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 0 g/km;3;2; euro 5; 0ois 0 km; Traction avant; Automate à fonct. Continu, 0 vitesses; 11 m; 195/70 R15 TCes pneus pas cher; 195/70 R15 TCe pneu en promo;VU;Non;Non;Non;Non;Non;Non
Peugeot;308 SW;1.6 BlueHDi 120 FAP BVM6 Business Pack ;Break;5;26 750 €;diesel;4 cylindres en ligne;0s; 1560 cm3; 5 cv;120;88 kw; 0 nm à 0 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vce pneu en continental; 205/55 r16 vce pneu pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;0;0;610;1660; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 85 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VCe pneu en Continental; 205/55 R16 VCe pneu pas cher;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 BlueHDi 120 FAP BVM6 Business ;Break;5;24 800 €;diesel;4 cylindres en ligne;0s; 1560 cm3; 5 cv;120;88 kw; 0 nm à 0 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vce pneu pas cher; 205/55 r16 vce pneu pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;0;0;610;1660; 0 kg; 0 km/h; 0 s; 0 l/100 km; 0 l/100 km; 0 l/100 km; 85 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VCe pneu pas cher; 205/55 R16 VCe pneu pas cher;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;308 SW;1.6 e-HDi 115 FAP BVM6 Business Pack ;Break;5;26 300 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;115;85 kw; 270 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vcommandez ces pneus; 205/55 r16 vce pneu pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1200;1870;610;1660; 1300 kg; 193 km/h; 10.6 s; 4.2 l/100 km; 3.3 l/100 km; 3.7 l/100 km; 95 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VCommandez ces pneus; 205/55 R16 VCe pneu pas cher;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 e-HDi 115 FAP BVM6 Business ;Break;5;24 350 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;115;85 kw; 270 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;6 vitesses; 11.2; 205/55 r16 vpromo sur ces pneus; 205/55 r16 vce pneu en continental; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1200;1870;610;1660; 1300 kg; 193 km/h; 10.6 s; 4.2 l/100 km; 3.3 l/100 km; 3.7 l/100 km; 95 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 6 vitesses; 11.2 m; 205/55 R16 VPromo sur ces pneus; 205/55 R16 VCe pneu en Continental;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;308 SW;1.6 HDi 92 FAP BVM5 Business Pack ;Break;5;24 950 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 11.2; 205/55 r16 vce pneu en pirelli; 205/55 r16 vpromo sur ces pneus; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1180;1850;610;1660; 1200 kg; 181 km/h; 11.9 s; 4.5 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 99 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 11.2 m; 205/55 R16 VCe pneu en Pirelli; 205/55 R16 VPromo sur ces pneus;VP;Oui;Non;Oui;Non;Oui;Non
Peugeot;308 SW;1.6 HDi 92 FAP BVM5 Business ;Break;5;23 000 €;diesel;4 cylindres en ligne;8s; 1560 cm3; 5 cv;92;68 kw; 230 nm à 1750 tr/min; traction avant;Manuelle;boîte manuelle;5 vitesses; 11.2; 205/55 r16 vce pneu enichelin; 205/55 r16 vce pneu enichelin; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1180;1850;610;1660; 1200 kg; 181 km/h; 11.9 s; 4.5 l/100 km; 3.5 l/100 km; 3.8 l/100 km; 99 g/km;5;5; euro 5; 0ois 0 km; Traction avant; Boîte manuelle, 5 vitesses; 11.2 m; 205/55 R16 VCe pneu en Michelin; 205/55 R16 VCe pneu en Michelin;VP;Oui;Non;Non;Non;Oui;Non
Peugeot;308 SW;2.0 BlueHDi 150 FAP BVA6 Féline ;Break;8;33 000 €;diesel;4 cylindres en ligne;16s; 1997 cm3; 8 cv;150;110 kw; 370 nm à 2000 tr/min; traction avant;Automatique;boîte automatique;6 vitesses; 11.2; 225/45 r17 vce pneu en dunlop; 225/45 r17 vces pneus pas cher; 4,59  / 1,86  / 1,47 ; 2.73; 53 l;1420;2000;610;1660; 1400 kg; 209 km/h; 8.9 s; 5 l/100 km; 3.8 l/100 km; 4.2 l/100 km; 111 g/km;5;5; euro 6; 0ois 0 km; Traction avant; Boîte automatique, 6 vitesses; 11.2 m; 225/45 R17 VCe pneu en Dunlop; 225/45 R17 VCes pneus pas cher;VP;Oui;Non;Oui;Non;Oui;Non
