NOM;ADRESSE;CP;LAT;LON;VILLE;TEL;EMAIL
GIRAUD PNEUS;49 avenue de Verdun;04000 ;44.0877184;6.2199851;DIGNE LES BAINS;null;null
PNEUMATIC 2000;ROUTE NATIONALE;07380 ;44.6501390;4.3221690;LALEVADE;null;null
SAINT PIERRE AUTO;RUE DE L'ARMISTICE - MONTCY SAINT PIERRE;08000 ;49.7789920;4.7293610;CHARLEVILLE MEZIERES;null;null
VILLARY PNEUS;57 Avenue Alsace Lorraine;09300 ;42.9420630;1.8558797;Lavelanet;null;null
PICHON-AGRO PNEUS;28 GRANDE RUE;10330 ;48.5010752;4.3843859;JASSEINES;null;null
LAGUZOU PNEUS;Rue Colbert Z.I felines;110000;43.2121610;2.3536630; CARCASSONNE;null;null
VALENTIN-BROUSSY - MILLAU PNEU;50, AVENUE JEAN JAURES;12100 ;44.1036804;3.0799671;MILLAU;null;null
PNEUS ET SERVICES OSTERSTOCK;24 route de Hunspach;67160 ;48.9739049;7.9800439;SEEBACH;null;null
LES MILLES PNEUS;685 CHEMIN DE LA VALETTE;13290 ;43.4987285;5.3709833;LES MILLES;null;null
SNC;RUE DU 19 MARS;15200 ;45.2130614;2.3377218;MAURIAC;null;null
CONSEIL TECHNIC AUTO;12 bvd du mai 1945;16110 ;45.7456861;0.3862989;LA ROCHEFOUCAULD;null;null
AYTRE PNEUS SERVICES;1 Rue Salvador Allendé;17440 ;46.1351732;-1.1184828;AYTRE;null;null
AUBIGNY PNEUS;ROUTE DE BOURGES;18700 ;47.4732340;2.4375610;AUBIGNY SUR NERE;null;null
ST PRIEST MECAPNEUS;2 RUE DES CHARDONNERETS;19800 ;45.3312721;1.8760750;ST PRIEST DE GIMEL;null;null
MONTBARD PNEUS;24, QUAI PHILIPPE BOUHEY;21500 ;47.6189805;4.3393117;MONTBARD;null;null
SAS LEZARD PNEUS;KERGRUYANT IZELLAMANT;22740 ;48.7690930;-3.1422400;PLEUDANIEL;null;null
AUTIZE PNEUS;La Grue;79160 ;46.845164;-0.64087;Coulonges-sur-l'Autize;null;null
MAURY PNEUS;Route de Piegut;24300 ;45.5423710;0.6693740;Nontron;null;null
PNEUS LIMBO;5 RUE DES PRES MOUCHETS;25500 ;47.0857064;6.6358243;LES FINS;null;null
SARL JEROME PNEUS;6500-RN7 -BP89;26702 ;44.378073;4.695575;PIERRELATTE CEDEX;null;null
BERRY PNEUS;24 RUE DU FAUBOURG CAPPEVILLE;27140 ;49.2834379;1.7870480;GISORS;null;null
PRAT PNEUS;Route de Chateaulin;29160 ;48.2480318;-4.4130992;CROZON;null;null
SOMMIERES PNEUS;2,impasse de la malautière BP23049;30252 ;43.780106;4.079179;SOMMIERES;null;null
DGF AUTO AQUITAINE;8 RUE EUGEN FREYSSINET;33 140;44.7877724;-0.5857227; VILLENAVE D ' ORNON;null;null
EUROPNEUS 68;ZA, 8 RUE DE L'ABOLITION;68740 ;47.9192372;7.5270222;FESSENHEIM;null;null
CORTE AUTO;Terre plein de la gare RN 200;20250 ;42.3094090;9.1490220;CORTE;null;null
CARBOPNEUS;z.i de naudon;31390 ;43.2940165;1.1999801;CARBONNE;null;null
LE PNEU A PRIX DISCOUNT;16 avenue d'Alsace;52220 ;48.4762962;4.7793116;MONTIER EN DER;null;null
MS PNEUS;ZA DES BONNETS;74270 ;46.0161450;5.9533490;MUSIEGES;null;null
CHALUS PNEUS;ZI FONTANILLE;87230 ;45.6498320;0.9798090;CHALUS;null;null
RAOUX-BARROIS;centre eurotyre route de tarbes;65100 ;43.1208063;-0.0292070;LOURDES;null;null
Lunel Pneus;91C Avenue des 4 saisons;34400 ;43.6767195;4.1161615;Lunel;null;null
BILLON PNEUS;59 Fbg de Vitré;35130 ;47.9495629;-1.2249016;La Guerche de Bretagne;null;null
ETS LESECHE & FILS PNEUS ACCES;57, AVENUE DE LA LIBERATION;36150 ;47.0663826;1.8062484;VATAN;null;null
ACTION ROUTE;28 RTE DE BORDEAUX;37170 ;47.3513311;0.7001125;CHAMBRAY LES TOURS;null;null
MOREAU PNEUS SERVICES;AVENUE DES ALPES;38260 ;45.3412706;5.1975102;MARCILLOLES;null;null
MULTIPNEU;200 avenue jacques duhamel;39100 ;47.0794657;5.4744412;DOLE;null;null
LA CENTRALE DU PNEU;135 CHEMIN DU BOUDIGOT;40300 ;43.5456270;-1.0972080;PEYREHORADE;null;null
EURO SERVICES;BELLE ALLEE;41800 ;47.7203620;0.8186760;SAINT MARTIN DES BOIS;null;null
CENTRE AUTO BLINOIS;27 route de l'isac;44130 ;47.4730085;-1.7450621;blain;null;null
ORLEANS PNEUMATIQUE;42 QUAI SAINT LAURENT;45000 ;47.8981444;1.8894554;ORLEANS;null;null
AGEN PNEUS;57, AVENUE DE LA MARNE;47520 ;44.1941208;0.6019030;LE PASSAGE;null;null
ABC PNEUS DOUE;Z.I DE LA SAULAIE;49700 ;47.184536;-0.251205;DOUE LA FONTAINE;null;null
DESCLOS PNEUS SERVICE;25, ZONE D'ACTIVITE DU PAVE;50300 ;48.7024649;-1.3843108;MARCEY LES GREVES;null;null
PNEUMATIQUES PONTFA SERVICES;30 ROUTE DE BETHENIVILLE;51490 ;49.2955334;4.3242839;PONTFAVERGER MORONVILLIERS;null;null
OK PNEU NORROY;Route de vandières;54700 ;48.9366124;6.0400138;NORROY LES PONT A MOUSSON;null;null
ARMOR SERVICES PNEUS;1, BOULEVARD YVES DEMAINE;56100 ;47.7521452;-3.3798592;LORIENT;null;null
RELAIS ST SYMPHORIEN;108, BOULEVARD ST SYMPHORIEN;57050 ;49.1168919;6.1490286;LONGEVILLE LES METZ;null;null
COIGNET PNEUS;LES NASLOTS;58220 ;47.4312510;3.1676110;CIEZ;null;null
DISTRI PNEUS SERVICE RAPIDE;11 RUE DE L EUROPE;59310 ;50.4351599;3.2074307;ORCHIES;null;null
THIERRY PNEUS;7 rue du petit chantilly;60510 ;49.4103444;2.2457471;bresles;null;null
LEROUX PNEU;1, RUE D'ALSACE LORRAINE;62120 ;50.6384449;2.3901565;AIRE SUR LA LYS;null;null
BOTA PNEUMATIQUES;KM 1 ROUTE NATIONALE 612;66300 ;42.6198670;2.7698870;LLUPIA;null;null
PNEUS SERVICES;3 avenue des Frères Montgolfier;69680 ;45.7275265;4.9639040;CHASSIEU;null;null
MPV AUTO 72;12 AVENUE DU MANS;72500 ;47.6987697;0.4135728;CHATEAU DU LOIR;null;null
