NOM;ADRESSE;CP;LAT;LON;VILLE;TEL;EMAIL
GIRAUD PNEUS;49 avenue de Verdun;04000 ;44.0877184;6.2199851;DIGNE LES BAINS;null;null
PNEUMATIC 2000;ROUTE NATIONALE;07380 ;44.644827;4.328869;LALEVADE;null;null
SAINT PIERRE AUTO;RUE DE L'ARMISTICE - MONTCY SAINT PIERRE;08000 ;49.776761;4.730748;CHARLEVILLE MEZIERES;null;null
VILLARY PNEUS;57 Avenue Alsace Lorraine;09300 ;42.9420630;1.8558797;Lavelanet;null;null
PICHON-AGRO PNEUS;28 GRANDE RUE;10330 ;48.5010752;4.3843859;JASSEINES;null;null
LAGUZOU PNEUS;Rue Colbert Z.I felines;110000;43.23077;2.324397; CARCASSONNE;null;null
VALENTIN-BROUSSY - MILLAU PNEU;50, AVENUE JEAN JAURES;12100 ;44.1036804;3.0799671;MILLAU;null;null
PNEUS ET SERVICES OSTERSTOCK;24 route de Hunspach;67160 ;48.9739049;7.9800439;SEEBACH;null;null
LES MILLES PNEUS;685 CHEMIN DE LA VALETTE;13290 ;43.4987285;5.3709833;LES MILLES;null;null
EUROTYRE MAURIAC PNEUS;RUE DU 19 MARS;15200 ;45.2130614;2.3377218;MAURIAC;null;null
CONSEIL TECHNIC AUTO;12 bvd du mai 1945;16110 ;45.7456861;0.3862989;LA ROCHEFOUCAULD;null;null
AYTRE PNEUS SERVICES;1 Rue Salvador Allendé;17440 ;46.1351731;-1.1184825;AYTRE;null;null
AUBIGNY PNEUS;ROUTE DE BOURGES;18700 ;47.47856;2.437977;AUBIGNY SUR NERE;null;null
ST PRIEST MECAPNEUS;2 RUE DES CHARDONNERETS;19800 ;45.3312721;1.8760750;ST PRIEST DE GIMEL;null;null
MONTBARD PNEUS;24, QUAI PHILIPPE BOUHEY;21500 ;47.6189805;4.3393117;MONTBARD;null;null
SAS LEZARD PNEUS;KERGRUYANT IZELLAMANT;22740 ;48.781600;-3.127070;PLEUDANIEL;null;null
AUTIZE PNEUS;Zone Artisanale de l'avenir;79160 ;46.4817440;-0.5995100;Coulonges-sur-l'Autize;null;null
MAURY PNEUS;Route de Piegut;24300 ;45.539573;0.667371;Nontron;null;null
PNEUS LIMBO;5 RUE DES PRES MOUCHETS;25500 ;47.0857064;6.6358243;LES FINS;null;null
SARL JEROME PNEUS;6500-RN7 -BP89;26702 ;44.356339;4.690552;PIERRELATTE CEDEX;null;null
BERRY PNEUS;24 RUE DU FAUBOURG CAPPEVILLE;27140 ;49.282565;1.785434;GISORS;null;null
PRAT PNEUS;Route de Chateaulin;29160 ;48.248675;-4.468037;CROZON;null;null
SOMMIERES PNEUS;2,impasse de la malautière BP23049;30252 ;43.780106;4.079179;SOMMIERES;null;null
PNEUS SERVICES;Z A BOIS REDON - lieu dit : LE BOIS REDON DERRIERE DISTRI CENTER A COTE DE MR BRICOLAGE;33390 ;45.128701;-0.643526;SAINT MARTIN LACAUSSADE;null;null
EUROPNEUS 68;ZA, 8 RUE DE L'ABOLITION;68740 ;47.9192372;7.5270222;FESSENHEIM;null;null
CORTE AUTO;Terre plein de la gare RN 200;20250 ;42.302764;9.159561;CORTE;null;null
CARBOPNEUS;z.i de naudon;31390 ;43.2940165;1.1999801;CARBONNE;null;null
LE PNEU A PRIX DISCOUNT;16 avenue d'Alsace;52220 ;48.473917;4.785254;MONTIER EN DER;null;null
MS PNEUS;ZA DES BONNETS;74270 ;46.011433;5.948850;MUSIEGES;null;null
CHALUS PNEUS;ZI FONTANILLE;87230 ;45.660183;0.990423;CHALUS;null;null
RAOUX-BARROIS;centre eurotyre route de tarbes;65100 ;43.116112;-0.033497;LOURDES;null;null
PNEU MALIN;15 rue Emile Deschanel;92400 ;48.9002158;2.2407267;COURBEVOIE;null;null
Lunel Pneus;91C Avenue des 4 saisons;34400 ;43.677016;4.117149;Lunel;null;null
BILLON PNEUS;59 Fbg de Vitré;35130 ;47.949945;-1.225184;La Guerche de Bretagne;null;null
ETS LESECHE & FILS PNEUS ACCES;57, AVENUE DE LA LIBERATION;36150 ;47.0663826;1.8062484;VATAN;null;null
ACTION ROUTE;28 RTE DE BORDEAUX;37170 ;47.3513311;0.7001125;CHAMBRAY LES TOURS;null;null
BARGEON PNEUS;Z.A LA CRUIZILLE-RUE BENOIT FRACHON;38090 ;45.617901;5.144371;VILLEFONTAINE;null;null
MULTIPNEU;200 avenue jacques duhamel;39100 ;47.078569;5.473223;DOLE;null;null
LA CENTRALE DU PNEU;135 CHEMIN DU BOUDIGOT ZA DE BAREYRE;40300 ;43.5456270;-1.0972080;PEYREHORADE;null;null
EURO SERVICES;BELLE ALLEE;41800 ;47.7203620;0.8186760;SAINT MARTIN DES BOIS;null;null
CENTRE AUTO BLINOIS;Ctre Ccial HYPER U 27 ter route de l Isac;44130 ;47.4733012;-1.7464109;blain;null;null
ORLEANS PNEUMATIQUES;42 QUAI SAINT LAURENT;45000 ;47.8981444;1.8894554;ORLEANS;null;null
R.V. AUTOS;500 CHEMIN DE BELLE CROIX;46000 ;44.4234314;1.4381798;CAHORS;null;null
AGEN PNEUS;57, AVENUE DE LA MARNE;47520 ;44.1941212;0.6019034;LE PASSAGE;null;null
ABC PNEUS DOUE;Z.I DE LA SAULAIE;49700 ;47.183904;-0.244863;DOUE LA FONTAINE;null;null
DESCLOS PNEUS SERVICE;25, ZONE D'ACTIVITE DU PAVE;50300 ;48.7024649;-1.3843108;MARCEY LES GREVES;null;null
PNEUMATIQUES PONTFA SERVICES;RUE DE REIMS - 51490 BETHENIVILLE;51490 ;49.2962913;4.3591089;BETHENIVILLE;null;null
OK PNEU NORROY;Route de vandières;54700 ;48.932254;6.038117;NORROY LES PONT A MOUSSON;null;null
ARMOR SERVICES PNEUS;1, BOULEVARD YVES DEMAINE;56100 ;47.7521452;-3.3798592;LORIENT;null;null
RELAIS ST SYMPHORIEN;108, BOULEVARD ST SYMPHORIEN;57050 ;49.116563;6.150392;LONGEVILLE LES METZ;null;null
COIGNET PNEUS;LES NASLOTS;58220 ;47.4312510;3.1676110;CIEZ;null;null
DISTRI PNEUS SERVICE RAPIDE;11 RUE DE L EUROPE;59310 ;50.476758;3.234850;ORCHIES;null;null
THIERRY PNEUS;7 rue du petit chantilly;60510 ;49.4101530;2.2476015;Bresles;null;null
LEROUX PNEU;1, RUE D'ALSACE LORRAINE;62120 ;50.6384449;2.3901565;AIRE SUR LA LYS;null;null
NEW GALAXIE PNEUS;7 Route du Cendre;63800 ;45.732191;3.181850;Cournon d'Auvergne;null;null
BOTA PNEUMATIQUES;KM 1 ROUTE NATIONALE 612;66300 ;42.625271;2.767372;LLUPIA;null;null
PNEUS SERVICES;3 avenue des Frères Montgolfier;69680 ;45.7275265;4.9639040;CHASSIEU;null;null
