NOM;ADRESSE;CP;LAT;LON;VILLE;TEL;EMAIL
null;AVENUE DU MIDIZAC AGEN SUD;47000;null;null; AGEN;05 53 47 09 40;null
null;Aeroport de la Garenne;47000;null;null; AGEN;05 53 47 09 40;null
null;Plateau d'ArboisGare TGV;13100;null;null; Aix en Provence;04 42 69 06 63;null
null;Aéroport de Campo d'Ell Oro;20000;null;null; AJACCIO;04 95 23 57 15;null
null;6 rue Charles De Gaulle;94140;null;null; ALFORTVILLE;01 43 78 05 92;null
null;SARL GANS STATION SERVICE GARAGE11-13 BOULEVARD DE LA REPUBLIQUE;33510;null;null; ANDERNOS LES BAINS;05 56 82 02 32;null
null;Aéroport d'Angers Marcé;49124;null;null; MARCE;02 41 86 89 89;null
null;Place de la Gare;49000;null;null; ANGERS;02 41 86 89 89 ;null
null;30 Rue Auguste GautierBP 10933;49000;null;null; Angers;02 41 25 29 94;null
null;334 rue Jules Romains;07430;null;null; DAVEZIEUX;04 75 69 22 44;null
null;2040 CHEMIN DE SAINT BERNARDPORTE 12 BATIMENT A;06220;null;null; Sophia Antipolis Vallauris;0492389784;null
null;CD 2 CAMP MAJOR;13672;null;null; AUBAGNE;04 42 18 84 19;null
null;Aéroport d'Avignon;84140;null;null; AVIGNON/MONTFAVET;04 90 84 01 48;null
null;ZI de Courtines178 avenue de l'Aulaniere;84000;null;null; AVIGNON;04 32 76 30 51;null
null;GARE TGVPlace de l'Europe;84000;null;null; AVIGNON;04 90 27 30 07;null
null;Aéroport de Bastia Poretta;20290;null;null; BORGO;04 95 36 07 85;null
null;GARAGE CITROEN BEAUCROISSANT100 ROUTE NATIONALE 85;38140;null;null; BEAUCROISSANT;04 76 91 00 79;null
null;Aéroport de Paris Beauvais Tillé;60000;null;null; TILLE;0344114671;null
null;ROUTE D'AMIENS RN1BEAUVAIS TILLE;60000;null;null; BEAUVAIS;03 44 45 84 43;null
null;Aéroport de Bergerac Périgordroute d'agen;24100;null;null; Bergerac;05 53 57 61 66;null
