AA001AA;MAZDA Mazda 6;Mazda 6 II FastWagon 2.0 MZR Break 16V Activematic 147 cv;http://www.oscaro.com/mazda-mazda-6-ii-fastwagon-2-0-mzr-break-16v-activematic-147-cv-boite-auto-31457-2632-t
AA004AA;RENAULT Modus;Modus Phase 2 1.2 i TCE 16V eco2 100 cv;http://www.oscaro.com/renault-modus-phase-2-1-2-i-tce-16v-eco2-100-cv-expression-28601-277-t
AA005AA;RENAULT Clio;Clio III 3 Portes 1.5 dCi 68cv;http://www.oscaro.com/renault-clio-iii-3-portes-1-5-dci-68cv-confort-pack-clim-10860-639-t
AA006AA;RENAULT Twingo;Twingo II (X44) 1.2 i 16v 75cv;http://www.oscaro.com/renault-twingo-ii-x44-1-2-i-16v-75cv-expression-8278-277-t
AA008AA;FORD Ka;Ka II 1.3 TDCi 75 cv;http://www.oscaro.com/ford-ka-ii-1-3-tdci-75-cv-zetec-29593-39-t
AA010AA;DACIA Sandero;Sandero 1.5 dCi Hatchback 70 cv;http://www.oscaro.com/dacia-sandero-1-5-dci-hatchback-70-cv-ambiance-29942-2193-t
AA012AA;MAZDA Mazda 2;Mazda 2 II 1.4 CD 68 cv;http://www.oscaro.com/mazda-mazda-2-ii-1-4-cd-68-cv-harmonie-31444-1642-t
AA014AA;PEUGEOT 407;407 Berline 2.0 HDi FAP 16V 136 cv;http://www.oscaro.com/peugeot-407-berline-2-0-hdi-fap-16v-136-cv-boite-auto-confort-34068-105-t
AA018AA;MAZDA Mazda 6;Mazda 6 II 2.2 MZR-CD 16V 125 cv;http://www.oscaro.com/mazda-mazda-6-ii-2-2-mzr-cd-16v-125-cv-elegance-31448-1923-t
AA020AA;RENAULT MÈgane;Megane III CoupÈ 1.5 dCi eco2 106 cv;http://www.oscaro.com/renault-megane-iii-coupe-1-5-dci-eco2-106-cv-dynamique-34367-730-t
AA023AA;NISSAN Qashqai;Qashqai (J10E) 1.5 dCi 106cv;http://www.oscaro.com/nissan-qashqai-j10e-1-5-dci-106cv-tekna-21631-333-t
AA024AA;RENAULT Clio;Clio Campus Evolution 5 portes 1.2 i 16V GPL Eco2 59 cv;http://www.oscaro.com/renault-clio-campus-evolution-5-portes-1-2-i-16v-gpl-eco2-59-cv-32007-1818-t
AA025AA;FORD Fiesta;Fiesta VI 5 portes 1.4 TDCi 68 cv;http://www.oscaro.com/ford-fiesta-vi-5-portes-1-4-tdci-68-cv-ambiente-29590-165-t
AA027AA;FORD Fiesta;Fiesta VI 5 portes 1.6 TDCi 90 cv;http://www.oscaro.com/ford-fiesta-vi-5-portes-1-6-tdci-90-cv-titanium-29591-1870-t
