name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection;
ALBI CHALLENGE PNEUS;165 Route de Montplaisir Route Millau carrefour St Juery;81000;ALBI;05 63 45 30 30;43.927185;2.20155;PROFIL+;35;0;
PROFIL PLUS ALLONNES À proximité de Allonnes;14 rue Albert Einstein;72700;ALLONNES;02 43 14 97 23;47.974639;0.145732;PROFIL+;35;0;
PROFIL PLUS AMPLEPUIS;ZI de la Gaiété;69550;AMPLEPUIS;04 74 63 43 98;45.980964;4.333946;PROFIL+;35;0;
PROFIL PLUS ANGERS;17 quai Félix Faure Proche Gaumont Multiplexe;49100;ANGERS;02 41 21 09 09;47.48433810850778;-0.5480714834670835;PROFIL+;35;0;
PROFIL PLUS ANGLET;11 bis Avenue de l'Adour;64600;Anglet;05 59 55 04 72;43.502075;-1.493175;PROFIL+;35;0;
SIMON / ROGEON PNEU / angouleme;490 route de Bordeaux;16000;ANGOULEME;05 45 91 35 36;45.636486;0.128193;PROFIL+;35;0;
PROFIL PLUS ARGENTAN;30 Avenue de la 2ème DB;61200;ARGENTAN;02 33 12 42 50;48.73885;-0.030969;PROFIL+;35;0;
PROFIL PLUS ARGENTON SUR CREUSE;Route de Limoges Station Elf - En face de R. MELIN TRIALIS;36200;ARGENTON S/CREUSE;02 54 24 13 08;46.575365;1.51142;PROFIL+;35;0;
PROFIL PLUS AUCH;193 rue Victor Hugo;32000;AUCH;05 62 05 64 21;43.654836;0.567013;PROFIL+;35;0;
AURAY PNEUS (AGENCE INDUSTRIELLE);27 rue de la Paix;56402;AURAY;02 97 56 50 55;47.679446;-3.004852;PROFIL+;35;0;
AURAY PNEUS SERVICES;ZA Toul Garros Face à Point P;56400;AURAY;02 97 24 24 48;47.664671;-3.014899;PROFIL+;35;0;
PROFIL PLUS AURILLAC;8 Rue Gutemberg ZI l'Escudillier;15000;Aurillac;04 71 63 57 30;44.915647;2.426495;PROFIL+;35;0;
PROFIL PLUS AUTUN;11 boulevard de l'Industrie Zone St Andoche;71400;AUTUN;03 85 52 20 79;46.954768;4.287153;PROFIL+;35;0;
PROFIL PLUS AUXONNE;Route de Dole RN 5;21130;AUXONNE;03 80 27 02 70;47.177895;5.401271;PROFIL+;35;0;
PROFIL PLUS BALANOD;Pré Vaubin;39160;BALANOD;03 84 44 04 22;46.451352;5.34609;PROFIL+;35;0;
PROFIL PLUS BANNAY;8 rue de la Poste;18300;BANNAY;02 48 72 32 73;47.389244;2.884757;PROFIL+;35;0;
PROFIL PLUS BAYEUX;Route de Caen RN13;14400;BAYEUX;02 31 92 01 61;49.270944;-0.681839;PROFIL+;35;0;
PROFIL PLUS BAYONNE;21 av Benjamin Gomez ZI St Frédéric;64100;BAYONNE;05 59 50 29 35;43.490254;-1.452172;PROFIL+;35;0;
PROFIL PLUS BAZAS;34 avenue du Genéral Leclerc;33430;BAZAS;05 56 25 09 76;44.440828;-0.232008;PROFIL+;35;0;
PROFIL PLUS BEDARIEUX;Route d'Herepian St Pons;34600;Bedarieux;04 67 95 11 36;43.619674;3.118004;PROFIL+;35;0;
PROFIL PLUS BESANCON;1 Rue Berthelot;25000;Besançon;03 81 53 24 28;47.238715;5.987803;PROFIL+;35;0;
BIARD;4 rue du Vignaud Proximité aéroport;86580;BIARD;05 49 37 85 11;46.579302;0.314035;PROFIL+;35;0;
PROFIL PLUS BIARS SUR CERE;77 Av. de la République;46130;Biars Sur Cère;05 65 38 41 63;44.924936;1.8441842;PROFIL+;35;0;
BLAGNAC VIALATTE PNEUS;6 rue des Orfèvres Au pied du grand château d'eau route de Grenade;31700;BLAGNAC;05 61 30 44 88;43.645026;1.383069;PROFIL+;35;0;
ST LOUIS PNEUS BORDEAUX;214 cours St Louis Face au Leclerc Saint-Louis;33300;BORDEAUX;05 56 50 23 00;44.863678;-0.56618;PROFIL+;35;0;
BORT LES ORGUES;192 rue Tuilerie;19110;BORT LES ORGUES;05 55 96 77 50;45.402472;2.49894;PROFIL+;35;0;
BOULAZAC PNEUS & CAOUTCHOUCS;Av Jacques Duclos Face à Super U;24750;BOULAZAC;05 53 45 59 10;45.18491;0.777051;PROFIL+;35;0;
PROFIL PLUS BOURBON LANCY;8 avenue Emile et Claude PUZENAT;71140;BOURBON LANCY;03 85 89 11 32;46.622279;3.764837;PROFIL+;35;0;
PROFIL PLUS BOURG-SAINT-MAURICE;88 route de l'Isère;73700;BOURG SAINT MAURICE;04 79 55 45 48;45.6118;6.773;PROFIL+;35;0;
BREST VL SIMON PNEUS;183 Route de Gouesnou Face à Mc Donald's;29200;BREST;02 98 02 35 26;48.420493;-4.46737;PROFIL+;35;0;
PROFIL PLUS BRETTEVILLE SUR ODON;2 Rue du Fresne Route de Bretagne;14760;BRETTEVILLE SUR ODON;02 31 73 52 00;49.164059;-0.422164;PROFIL+;35;0;
PROFIL PLUS BUZANCAIS;ZI des Fossés;36500;BUZANCAIS;02 54 84 12 97;46.888408;1.424303;PROFIL+;35;0;
CARBON BLANC;Rue du Carbouney ZI La Mouline;33560;CARBON BLANC;05 56 38 08 38;44.913255;-0.490501;PROFIL+;35;0;
CARHAIX;ZA du Poher;29270;CARHAIX PLOUGUER;02.98.16.72.06;48.275746;-3.574206;PROFIL+;35;0;
PROFIL PLUS CARPIQUET;7 Rue des Monts Panneaux Z.I. Ouest;14650;CARPIQUET;02 31 26 05 00;49.192362;-0.443401;PROFIL+;35;0;
PROFIL PLUS CASTELJALOUX;Route de Marmande;47700;CASTELJALOUX;05 53 89 28 38;44.333426;0.096079;PROFIL+;35;0;
PROFIL PLUS CASTETIS ORTHEZ;1 RN 117;64300;CASTETIS ORTHEZ;05 59 69 06 15;43.479114;-0.743198;PROFIL+;35;0;
CASTRES CHALLENGE PNEUS;21 Rue Ludovic Julien;81100;CASTRES;05 63 62 64 64;43.593312;2.20795;PROFIL+;35;0;
CHALLANS PNEUS;Allée Jariette Face Gendarmerie;85300;Challans;02 51 35 16 43;46.855751;-1.8694269;PROFIL+;35;0;
PROFIL PLUS CHALON SUR SAONE NORD;12 Rue de Guerlande Zone verte Chatenoy le Royal;71880;CHALON S/SAONE NORD;03 85 46 45 77;46.79618;4.828834;PROFIL+;35;0;
PROFIL PLUS CHALON SUR SAONE SUD;40 route de Lyon St Rémy;71100;CHALON S/SAONE SUD;03 85 90 03 03;46.765973;4.842333;PROFIL+;35;0;
COGNAC;77 Av d'Angoulême Le Petit Château;16100;CHATEAUBERNARD;05 45 35 32 50;45.687265;-0.310536;PROFIL+;35;0;
MR PNEU CHATEAUBRIANT;Z.I. route de St Nazaire À côté de Noz;44110;CHATEAUBRIANT;02 40 28 23 55;47.704195;-1.392658;PROFIL+;35;0;
PROFIL PLUS CHÂTEAU GONTIER;21 Avenue de St Fort Saint Fort;53200;CHÂTEAU GONTIER;02 43 70 31 09;47.816179;-0.708299;PROFIL+;35;0;
SIMON PNEUS CHATEAULIN;ZA de Penn Ar Roz;29150;CHATEAULIN;02 98 86 16 09;48.198353;-4.094412;PROFIL+;35;0;
CHATELLERAULT;31 avenue d'Argenson;86100;CHATELLERAULT;05 49 23 36 07;46.8341;0.5467139;PROFIL+;35;0;
PROFIL PLUS CHATILLON SUR CHALARONNE;23 rue Pierre et Marie Curie ZI Sud;1400;CHATILLON S/ CHALARONNE;04 74 55 13 00;46.116309;4.946732;PROFIL+;35;0;
PROFIL PLUS CHAUFFAILLES;14 Impasse zone Industrielle;71170;CHAUFFAILLES;03 85 26 53 05;46.206639;4.317685;PROFIL+;35;0;
PROFIL PLUS CHAUMONT;ZI de la Dame Huguenotte;52000;CHAUMONT;03 25 32 22 32;48.116362;5.10816;PROFIL+;35;0;
CHOUTEAU PNEUS - CHAURAY;640 route de Paris Entre Camif et Maaf;79180;CHAURAY;05 49 33 08 63;46.341375;-0.392803;PROFIL+;35;0;
CHOLET PNEUS;49 Boulevard Rontardière;49300;CHOLET;02 41 58 22 75;47.0583051;-0.8564314;PROFIL+;35;0;
PROFIL PLUS CHOLET;13 boulevard de Belgique Rond point de Carrefour;49300;CHOLET;02 41 58 58 74;47.0701292;-0.8416534;PROFIL+;35;0;
PROFIL PLUS CONDÉ;Le Parc Saint Jacques;14110;CONDÉ SUR NOIREAU;02 31 59 29 29;48.853979;-0.544677;PROFIL+;35;0;
PROFIL PLUS CONDOM;21 Avenue des Pyrénées;32100;Condom;05 62 28 01 20;43.952766;0.370989;PROFIL+;35;0;
DECAZEVILLE CHALLENGE PNEUS;ZA du Combal A côté de RLD Cantos;12300;DECAZEVILLE;05 65 43 02 33;44.555891;2.268531;PROFIL+;35;0;
PROFIL PLUS DIGOIN;Rue de la Faîencerie C Cial Leclerc / le Revernay;71160;DIGOIN;03 85 88 92 47;46.488045;3.992951;PROFIL+;35;0;
DOUARNENEZ;ZI de Bréhuel;29100;DOUARNENEZ;02 98 92 15 99;48.084099;-4.31333;PROFIL+;35;0;
PROFIL PLUS DUNKERQUE;Rue Armand Carrel Zone Industrielle de Petite Synthe;59640;DUNKERQUE;03 28 66 77 04;51.0082406;2.3320935;PROFIL+;35;0;
PROFIL PLUS DUNKERQUE (INDUSTRIEL);1440 rue Achille Pérès Zone Industrielle de Petite Synthe;59640;DUNKERQUE;03 28 600 200;51.007256;2.3323419;PROFIL+;35;0;
PROFIL PLUS FALAISE;Route de Putanges;14700;FALAISE;02 31 90 10 60;48.884233;-0.20402;PROFIL+;35;0;
PROFIL PLUS FIGEAC;53 Av Georges Pompidou;46100;FIGEAC;05 65 14 01 64;44.6039542;2.0192947;PROFIL+;35;0;
PROFIL PLUS FLERS;91 Rue de la Chaussée;61100;FLERS;02.33.30.70.70;48.742522;-0.563267;PROFIL+;35;0;
PROFIL PLUS FLEURANCE;ZI;32500;FLEURANCE;05 62 64 23 67;43.859555;0.654184;PROFIL+;35;0;
PROFIL PLUS FLEURY SUR ANDELLE;8 ROUTE DE CHARLEVAL LE PETIT NOJEON;27380;FLEURY SUR ANDELLE;02 32 49 01 22;49.355601;1.350797;PROFIL+;35;0;
PROFIL PLUS DOLE (Foucherans);ZAC en Rougemont;39100;Foucherans (Dole);03 84 82 35 09;47.078116;5.462305;PROFIL+;35;0;
VIALATTE PNEUS;124 Av De St Exupéry Face à Sport 2000/Leclerc;81600;GAILLAC;05 63 57 03 29;43.894608;1.881701;PROFIL+;35;0;
PROFIL PLUS GENAY;725 Rue des Jonchères;69730;GENAY;04 78 98 12 13;45.897559;4.819525;PROFIL+;35;0;
PROFIL PLUS GISORS;4 rue du Pré Nattier;27140;GISORS;02 32 27 68 00;49.279998;1.782872;PROFIL+;35;0;
GOND-PONTOUVRE;91 route de Paris Pont de Pisany;16160;GOND PONTOUVRE;05 45 38 36 64;45.667364;0.171917;PROFIL+;35;0;
PROFIL PLUS GOURNAY EN BRAY;2 AVENUE DE L'EUROPE ZI;76220;GOURNAY EN BRAY;02 35 90 01 50;49.485747;1.72927;PROFIL+;35;0;
PROFIL PLUS GRAY;Rue des Frères Lumière;70100;GRAY;03 84 31 66 00;47.438001;5.605384;PROFIL+;35;0;
GUIPAVAS;2 rue Jules Janssen Zac de Kergaradec;29490;GUIPAVAS;02 98 02 38 66;48.427648;-4.447083;PROFIL+;35;0;
JUBIN pneus;Z.I. de Kérandré;56700;HENNEBONT;02 97 36 16 88;47.795436;-3.283667;PROFIL+;35;0;
PROFIL PLUS HEROUVILLE SAINT CLAIR (PL);366 Rue Léon Foucault ZI de la Sphère;14200;HEROUVILLE SAINT CLAIR;02 31 47 65 10;49.212397;-0.347446;PROFIL+;35;0;
PROFIL PLUS HEROUVILLE SAINT CLAIR (VL);Rue Lavoisier ZI de la Sphère;14200;HEROUVILLE SAINT CLAIR (VL);02 31 47 65 00;49.145703;0.269159;PROFIL+;35;0;
PROFIL PLUS INCARVILLE;90 Rue de Lery;27400;INCARVILLE;02 32 50 64 34;49.2432837;1.1782256999999845;PROFIL+;35;0;
PROFIL PLUS ISSOUDUN;55 Route de Bourges;36100;ISSOUDUN;02 54 21 93 77;46.95124;2.00354;PROFIL+;35;0;
PROFIL PLUS JOIGNY À proximité de Auxerre;3 rue des Près Sergents;89303;JOIGNY;03 86 62 18 84;47.584315;3.225541;PROFIL+;35;0;
PROFIL PLUS LA CHATRE;Avenue d'Auvergne Centre commercial Super U;36400;LA CHATRE;02 54 48 04 10;46.581818;2.001443;PROFIL+;35;0;
PROFIL PLUS LA HAYE DU PUITS;1 Route de Lessay ZAC du Carrousel;50250;LA HAYE DU PUITS;02 33 47 94 12;49.27876;-1.538301;PROFIL+;35;0;
PROFIL PLUS L'AIGLE;ZA La Pichotière;61300;L'AIGLE;02 33 24 48 24;48.769202;0.663543;PROFIL+;35;0;
LAMBALLE;ZI de la Ville Es Lan;22400;LAMBALLE;02 96 50 04 10;48.474394;-2.577429;PROFIL+;35;0;
LAMBALLE (PL);2 RUE DES BLOSSIERES MAROUE ZI DE LAMBALLE;22400;LAMBALLE;02 96 50 13 91;48.466761;-2.539108;PROFIL+;35;0;
LANDIVISIAU SIMON PNEUS;Av. Foch;29400;LANDIVISIAU;02 98 68 13 88;48.512716;-4.062514;PROFIL+;35;0;
PROFIL PLUS LANGRES;C Cial Leclerc SAINTS GEOSMES;52200;LANGRES;03 25 87 36 31;47.83158;5.336038;PROFIL+;35;0;
La Reole;ZI de Frimont;33190;LA REOLE;05 56 61 04 51;44.580748;-0.063607;PROFIL+;35;0;
LA ROCHE SUR YON;Rue du Commerce ZI Sud;85000;LA ROCHE S/YON;02 51 36 07 15;46.653066;-1.4413;PROFIL+;35;0;
SIMON / PNEUS & CAOUTCHOUCS LA SOUTERRAINE;Bd Belmond;23300;LA SOUTERRAINE;05 55 63 00 25;46.244823;1.495386;PROFIL+;35;0;
Maxi Pneus;240 avenue Denis Papin;33260;La Teste de Buch;05 57 52 85 42;44.6085098;-1.1253848;PROFIL+;35;0;
PROFIL PLUS LAVAL;46 rue de Bruxelles ZA des Bozées;53000;LAVAL;02 43 59 20 80;48.059947;-0.735159;PROFIL+;35;0;
PROFIL PLUS LA VESPIERE;Lieu-dit Beausoleil;14290;LA VESPIERE;02 31 32 28 20;49.023715;0.415911;PROFIL+;35;0;
PROFIL PLUS LE BLANC;16 Bis Avenue Pierre Mendès France;36300;LE BLANC;02 54 28 74 90;46.631423;1.079069;PROFIL+;35;0;
PROFIL PLUS LE CREUSOT;55 avenue des Abattoirs Face à la caserne des pompiers;71200;LE CREUSOT;03 85 73 02 02;46.787995;4.444471;PROFIL+;35;0;
LE HAILLAN;Av. de Magudas;33185;LE HAILLAN;05 57 92 88 78;44.858659;-0.681098;PROFIL+;35;0;
PROFIL PLUS CHATEAUROUX;ZI Allée des Maisons Rouges;36330;LE POINCONNET;02 54 27 99 04;46.800146;1.735824;PROFIL+;35;0;
LES ESSARTS;Parc d'activités La Mongie;85140;LES ESSARTS;02 28 15 06 90;46.785213;-1.18482;PROFIL+;35;0;
Nantes Pneumatiques;Route de la Rochelle - La Bauche a Millet;44840;LES SORINIERES;02 40 80 87 09;47.1958672;-1.544699;PROFIL+;35;0;
PNEUS & CAOUTCHOUCS LIMOGES Nord;35 rue Roberval ZI Nord;87000;LIMOGES;05 55 04 11 26;45.881541;1.266926;PROFIL+;35;0;
PNEUS & CAOUTCHOUCS LIMOGES Sud;2 rue Hubert Curien ZA de Romanet;87000;LIMOGES;05 55 34 51 21;45.810147;1.27407;PROFIL+;35;0;
PROFIL PLUS LISIEUX;282 route de Paris Avenue Georges Duval;14100;Lisieux;02 31 32 17 00;49.145877;0.2706458;PROFIL+;35;0;
