name;address;postal code;city;phone;lattitude;longitude;company;idpoi;dfselection
TOU'PNEUS;185 AV JEAN MÉLIÈS;11000;CARCASSONNE;04 68 25 32 10;43.2061;2.31711;Siligom;37;0
D.R.P.L;33, AVENUE EIFFEL;77220;GRETZ ARMAINVILLIERS;01.64.07.96.65;48.7351;2.72976;Siligom;37;0
SILIGOM LIMOGES;36, RUE AUGUSTE COMTE;87280;LIMOGES;05 55 37 27 22 ET 05 55 37 26 22;45.8751;1.2729;Siligom;37;0
SILIGOM - FOUGERES;14 TER, BOULEVARD DE GROSLAY;35300;FOUGERES;02.99.99.36.80;48.3559;-1.18673;Siligom;37;0
C.P.E. - TULLE;ROUTE DE BRIVES;19000;TULLE;05.55.20.79.38;45.2473;1.74644;Siligom;37;0
ECOPNEU - BEUVRY;147, RUE NATIONALE;62660;BEUVRY;03.21.61.11.17;50.5219;2.6643;Siligom;37;0
CLEMAUTO - CHAMBLY;1 BIS RUE LÉONARD DE VINCI;60230;CHAMBLY;01 30 34 94 05;49.1545;2.24968;Siligom;37;0
EUROPNEU - NARBONNE;4 BOULEVARD MARCEL SEMBAT;11100;NARBONNE;04.68.65.55.20;43.1942;3.01009;Siligom;37;0
VULCASTRA - SOUFFELWEYERSHEIM;58, ROUTE DE BRUMATH;67460;SOUFFELWEYERSHEIM;03.88.20.22.75;48.6246;7.73012;Siligom;37;0
AUTOSERVICES - CAUDRY;ZAC RN43 - RUE BERLIOZ;59542;CAUDRY;0 327 372 000;50.1329;3.41299;Siligom;37;0
AUTOCAM - CHAULNES;27, AVENUE ARISTIDE BRIAND;80320;CHAULNES;03.22.83.03.68;49.8136;2.80466;Siligom;37;0
AGRIPNEU - CASTELMAYRAN;VIGNOBLE;82210;CASTELMAYRAN;05.63.95.42.91;44.0282;1.04278;Siligom;37;0
SILIGOM - BEAUVAIS;7 RUE DE PIÇONLIEU;60000;BEAUVAIS;03 44 22 79 97;49.4411;2.10911;Siligom;37;0
AGP AUTO - CHERENG;188 ROUTE NATIONALE;59152;CHERENG;03.20.34.93.74;50.6098;3.21517;Siligom;37;0
