name;address;postal code;city;phone;lattitude;longitude;
SPEEDY NICE;76 Rue De Borriglione;06100;Nice;04 93 52 83 03;43.71875;7.2617;
SPEEDY NICE;78-80, Boulevard Gambetta;06000;Nice;04 97 03 03 17;43.70457;7.25611;
SPEEDY NICE;14 Bld Saint Roch;06300;Nice;04 93 26 82 83;43.70963;7.29285;
SPEEDY NICE (MAGNAN);31, Avenue Du Bellet;6200;Nice;04 93 97 59 04;43.69327;7.24344;
SPEEDY NICE;80, Av De La Californie;06200;Nice;04 93 44 12 63;43.68832;7.23921;
SPEEDY CAGNES;90 Avenue De Nice;06800;Cagnes-sur-Mer;04 93 31 00 81;43.6591;7.16426;
SPEEDY CAGNES-SUR-MER;36, avenue des Alpes;06800;Cagnes-sur-Mer;04 92 02 84 41;43.66013;7.1401;
SPEEDY ANTIBES;1628, Route De Grasse;06600;Antibes;04 93 74 16 74;43.59895;7.08686;
SPEEDY PEYMEINADE;64, Avenue De Boutiny;6530;Peymeinade;04 93 66 43 33;43.64239;6.88019;
SPEEDY CANNES;89 Bd Carnot;06400;Cannes;04 93 68 02 33;43.56195;7.01674;
