nullUCAR TREVOUX;215 route de LYON; 01600; TREVOUX;04 74 00 70 31;trevoux@votreagenceucar.fr
OPEL RENT GEX;Route Nationale; 01630; SAINT JEAN DE GONVILLE;04 50 56 39 87;chevillard.gex.atelier@opel.gmfrance.fr
UCAR ST QUENTIN PL 8 OCTOBRE;36 Bis Boulevard Gambetta; 02100; SAINT-QUENTIN;03 23 63 87 18;STQUENTIN@votreagenceucar.fr
OPEL RENT LAON;9 Rue Turgot ZAC Champ du Roy; 02000; LAON;03 23 27 11 90;relaischampagne.laon.compta@opel.gmfrance.fr
UCAR MONTLUCON CENTRE;12 Boulevard Carnot; 03106; MONTLUCON;04 70 03 93 13;montlucon@ucar.fr
UCAR MOULINS GARE;68 Rue de Lyon; 03000; MOULINS;04 70 20 28 00;moulins@ucar.fr
UCAR NICE ARENAS;92 rue AUGUSTE PEGURIER; 06200; NICE;04 92 07 01 01;nice-arenas@votreagenceucar.fr
UCAR NICE COTE D'AZUR AEROPORT;Service relais AEROPORT-AGENCE; 06200; NICE;04 92 07 01 01;nice-arenas@votreagenceucar.fr
UCAR RELAIS GARE NICE VILLE;Service relais GARE-AGENCE; 06200; NICE;04 92 07 01 01;nice-arenas@votreagenceucar.fr
OPEL RENT CANNES;Bretelle de l'autoroute; 06110; LE CANNET;04 93 69 63 40;gema-sylvie@wanadoo.fr
UCAR TROYES-LA CHAPELLE ST LUC;6 Rue archimède; 10600; TROYES - LA CHAPELLE ST LUC;03 25 74 90 40;troyes@ucar.fr
UCAR NARBONNE GARE;36 Boulevard Frederic Mistral; 11100; NARBONNE;04 68 75 88 39;ucar.narbonne@orange.fr
UCAR ALLAUCH;660 bis Ave du Canton Vert; 13190; ALLAUCH;04 91 64 61 62;ucar.allauch@orange.fr
UCAR AUBAGNE LES PALUDS;6 Avenue des Caniers ; 13400; AUBAGNE;04 42 62 13 13;ucar.marseille@gmail.com
UCAR MARIGNANE SAINT-VICTORET;Rue René Cailloux; 13700; MARIGNANE;04 42 46 00 00;marignane@votreagenceucar.fr
UCAR MARSEILLE PLOMBIERES;166 Boulevard de Plombières; 13014; MARSEILLE;04 96 16 96 16;ucar.marseille@gmail.com
UCAR PRADO RABATAU;85 Boulevard Rabatau; 13008; MARSEILLE;04 91 41 42 43;ucar.marseille@gmail.com
UCAR MARSEILLE RELAIS AEROPORT;Service de relais AEROPORT-AGENCE; 13700; MARSEILLE;04 42 46 00 00;marignane@ucar-franchise.fr
UCAR RELAIS AEROPORT MARIGNANE;Service de relais AEROPORT-AGENCE; 13700; MARIGNANE;04 42 46 00 00;marignane@votreagenceucar.fr
UCAR AIX EN PROV. AEROPORT;Service relais AEROPORT-AGENCE; 13290; AIX LES MILLES;04 42 24 13 13;aix@votreagenceucar.fr
UCAR AIX EN PROV. GARE-TGV;Service relais GARE-TGV; 13290; AIX LES MILLES;04 42 24 13 13;aix@votreagenceucar.fr
UCAR AIX EN PROVENCE;115 Rue Claude Nicolas Ledoux; 13290; AIX LES MILLES;04 42 24 13 13;aix@votreagenceucar.fr
UCAR RELAIS LA CIOTAT;Service Relais Station de taxi la Ciotat; 13600; LA CIOTAT;04 42 62 13 13;ucar.aubagne@gmail.com
UCAR RELAIS CASSIS;Service Relais Station de taxi à Cassis; 13260; CASSIS;04 42 62 13 13;ucar.aubagne@gmail.com
UCAR RELAIS HOTEL CESAR;Service de relais GARE HOTEL LE CESAR; 13190; ALLAUCH;04 91 64 61 62;ucar.allauch@orange.fr
UCAR RELAIS AUBAGNE;Service de Relais AUBAGNE-AGENCE; 13014; MARSEILLE;0496169616;ucar.marseille@gmail.com
UCAR RELAIS GARE ST CHARLES;Service de relais GARE-AGENCE; 13014; MARSEILLE;04 96 16 96 16;ucar.marseille@gmail.com
UCAR RELAIS LA VALENTINE;Service de relais LA VALENTINE-AGENCE; 13014; MARSEILLE;04 96 16 96 16;ucar.marseille@gmail.com
OPEL RENT ARLES;Av des Arches; 13200; ARLES;04 90 18 88 22;opelrentarles@orange.fr
OPEL RENT SALON DE PROVENCE;551 Avenue du 22 aout 1944; 13300; SALON DE PROVENCE;04 90 53 85 33;opelrent.salon@laposte.net
OPEL RENT CAEN;10; Rue de la Haye Mariaise; 14000;02 31 47 14 44;transacauto.caen.opelrent@opel.gmfrance.fr
OPEL RENT ANGOULEME;105 Route de Paris; 16160; LE GOND PONTOUVRE;05 45 68 15 50;opel.rent@morgans.fr
OPEL RENT SAINTES;17 rue De l'Ormeau de Pied; 17100; SAINTES;05 46 93 02 22;opel.rent@barns.fr
UCAR BOURGES CENTRE;21 Avenue Jean Jaurès; 18000; BOURGES;02 48 70 63 33;bourges@ucar.fr
UCAR BRIVE LA GAILLARDE;23 bis Avenue du President Roosevelt; 19100; BRIVE LA GAILLARDE;05 55 88 11 11;ucar.brive@orange.fr
UCAR GIMEL LES CASCADES-TULLE;La Bitarelle; 19800; GIMEL LES CASCADES;05 55 21 60 01;euromulticar19@orange.fr
UCAR AJACCIO (CORSE);Route du stiletto; 20290; AJACCIO;04 95 27 05 05;corsicalocation2b@orange.fr
UCAR BASTIA (CORSE);893 Avenue De Valrose RN193; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.fr
UCAR BASTIA BORGO AEROPORT;Service relais AEROPORT-AGENCE; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.frr
UCAR BASTIA BORGO GARE;Service relais GARE-AGENCE; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.fr
UCAR BASTIA BORGO PORT;Service relais PORT-AGENCE; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.fr
UCAR RELAIS AEROPORT AJACCIO;Service relais AEROPORT-AGENCE; 20290; AJACCIO;04 95 27 05 05;ajaccio@votreagenceucar.fr
UCAR RELAIS GARE AJACCIO;Service relais GARE-AGENCE; 20290; AJACCIO;04 95 27 05 05;ajaccio@votreagenceucar.fr
UCAR RELAIS PORT AJACCIO;Service relais PORT-AGENCE; 20290; AJACCIO;04 95 27 05 05;ajaccio@votreagenceucar.fr
UCAR AJACCIO (CORSE);Route du stiletto; 20290; AJACCIO;04 95 27 05 05;corsicalocation2b@orange.fr
UCAR BASTIA (CORSE);893 Avenue De Valrose RN193; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.fr
UCAR BASTIA BORGO AEROPORT;Service relais AEROPORT-AGENCE; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.frr
UCAR BASTIA BORGO GARE;Service relais GARE-AGENCE; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.fr
UCAR BASTIA BORGO PORT;Service relais PORT-AGENCE; 20290; BORGO;04 95 35 10 10;corsicalocation2b@orange.fr
UCAR RELAIS AEROPORT AJACCIO;Service relais AEROPORT-AGENCE; 20290; AJACCIO;04 95 27 05 05;ajaccio@votreagenceucar.fr
UCAR RELAIS GARE AJACCIO;Service relais GARE-AGENCE; 20290; AJACCIO;04 95 27 05 05;ajaccio@votreagenceucar.fr
UCAR RELAIS PORT AJACCIO;Service relais PORT-AGENCE; 20290; AJACCIO;04 95 27 05 05;ajaccio@votreagenceucar.fr
UCAR DIJON CAP NORD;6 Rue de la Brot; 21100; DIJON;03 80 28 85 60;jvlocation@gmail.com
OPEL RENT ST BRIEUC;Rue du verger - ZI Bourdinière; 22120; YFFINIAC;02 96 63 36 08;opelrent@hamon-automobiles.fr
UCAR MONTBELIARD;66 Faubourg de Besançon; 25200; MONTBELIARD;03 81 91 17 91;ucar.montbeliard@orange.fr
UCAR MONTBELIARD RELAIS TGV;Service relais GARE-TGV; 25200; MONTBELIARD;03 81 91 17 91;ucar.montbeliard@orange.fr
OPEL RENT PONTARLIER;6 rue Donnet Zedel; 25300; PONTARLIER;03 81 46 26 00;Opel-rent-pontarlier@deffeuille.fr
UCAR EVREUX LA MADELEINE;182 Route d'Orléans; 27000; EVREUX;02 32 23 20 20;jfb.location@orange.fr
UCAR VERNON - SAINT MARCEL;3 Rue des Champs ; 27950; SAINT MARCEL;02 32 21 14 14;ucar.vernon@orange.fr
OPEL RENT EVREUX;Chemin Communal n°28; 27930; ANGERVILLE LA CAMPAGNE;02 32 23 70 01;opelrentevreux@hotmail.fr
OPEL RENT VERNON;14 route de Rouen; 27950; SAINT JUST;02 32 51 07 66;opel.rent@saintjust-auto.fr
UCAR DREUX;11 Rue de Vernouillet; 28100; DREUX;02 37 43 57 11;HMLOCATION@gmail.com
OPEL RENT CHARTRES;11 Av du Val de l'Eure Euroval; 28630; FONTENAY SUR EURE;02 37 18 23 14;opel-rent-chartres@wanadoo.fr
OPEL RENT DREUX;Centre Commercial Plein Sud; 28500; VERNOUILLET;02 37 38 94 19;opelrent-dreux@groupe-berteaux.fr
OPEL RENT QUIMPER;5 rue ROSA PARK - ZAC Du PETIT GUELEN; 29000; QUIMPER;02 98 98 01 06;opelrent@auto-concept-quimper.fr
OPEL RENT BREST;Bd de l'Europe ZI de Kergonan; 29200; BREST;02 98 41 29 96;nadine.opelrent@hotmail.fr
UCAR NIMES OUEST;1800 Avenue du Marechal Juin; 30900; NIMES;04 66 26 41 31;ucar.nimes@gmail.com
UCAR RELAIS GARE TGV;Service de Relais Gare Agence NIMES; 30900; NIMES;04 66 26 41 31;ucar.nimes@gmail.com
OPEL RENT NIMES;170 Rue du Père Brottier; 30900; NIMES;04 66 70 96 96;opelrentnimes@orange.fr
UCAR AUCAMVILLE;13 ROUTE DE FRONTON; 31140; AUCAMVILLE;05 61 70 10 00;ucar.aucamville@orange.fr
UCAR TOULOUSE-LABEGE;Route de Bazieges; 31670; LABEGE;05 61 39 96 85;ucar.labege@orange.fr
OPEL RENT MURET;Impasse Jacques Monod RN 117 ; 31600; MURET;05 61 00 07 76;laetitia.averous@groupe-sipa.fr
OPEL RENT TOULOUSE LABEGE;Chemin de Lalande; 31670; TOULOUSE-LABEGE;05 61 00 07 76;laetitia.averous@groupe-sipa.fr
OPEL RENT TOULOUSE MIRAIL;Rue Emile Baudot; 31000; TOULOUSE;05 34 60 96 12;laetitia.averous@groupe-sipa.fr
OPEL RENT TOULOUSE;167 avenue des ETATS UNIS ; 31300; TOULOUSE;05 61 00 07 76;laetitia.averous@groupe-sipa.fr
OPEL RENT AUCH;ZI Au Sousson- Route de Tarbes; 32550; PAVIE;05 62 05 52 02;sudauto.auch.vente@opel.gmfrance.fr
UCAR BARRIERE D'ARES;29 Boulevard Antoine Gautier; 33000; BORDEAUX;05 56 05 60 00;ucar.bordeaux@orange.fr
UCAR BORDEAUX CHARTRONS;9 Avenue Emile Counord ; 33000; BORDEAUX;05 56 69 20 00;ucar.bordeaux@gmail.com
UCAR MERIGNAC;34 Avenue de l’Argonne; 33700; MERIGNAC;05 57 87 16 88;ucar.merignac@orange.fr
UCAR BORDEAUX RELAIS AEROPORT;Service de Relais AEROPORT-AGENCE; 33700; MERIGNAC;05 57 87 16 88;UCAR.MERIGNAC@ORANGE.FR
UCAR RELAIS MERIGNAC AEROPORT;Service de relais AEROPORT-AGENCE; 33700; MERIGNAC;05 57 87 16 88;UCAR.MERIGNAC@orange.fr
UCAR BORDEAUX BASTIDE;319 Avenue Thiers; 33100; BORDEAUX;05 56 69 10 00;ucar.bastide@gmail.com
UCAR LIBOURNE;68 Route de St Emilion; 33500; LIBOURNE;05 57 51 53 90;compta-carrosserie@orange.fr
UCAR ST ANDRE DE CUBZAC;480 Route de Bordeaux; 33240; ST ANDRE DE CUBZAC;05 57 43 84 20;ucar@mj2p.com
OPEL RENT BORDEAUX;469 Route du Médoc; 33523; BRUGES;05 56 57 41 66;opelrent.bruges@pigeonlesite.fr
OPEL RENT VILLENAVE D'ORNON;363 Route de Toulouse; 33140; VILLENAVE D ORNON;05 56 37 03 20;opelrentavi@pigeonlesite.fr
UCAR MONTPELLIER;1 ; Rue du Lantissargues; 34070 ;04 67 55 00 64;MONTPELLIER@votreagenceucar.fr
UCAR RELAIS GARE MONTPELLIER;Service relais GARE-AGENCE ; 34070 ; MONTPELLIER;04 67 55 00 64;MONTPELLIER@votreagenceucar.fr
UCAR AEROPORT MONTPELLIER M.;Service de Relais AEROPORT-AGENCE; 34970; LATTES;04 67 15 15 00;ucarmontpellier@orange.fr
UCAR MONTPELLIER LATTES;55 Rue de Mistral; 34970; LATTES;04 67 15 15 00;ucarmontpellier@orange.fr
OPEL RENT MONTPELLIER;56 Avenue du Marché Gare ; 34074; MONTPELLIER;04 67 06 09 18;Opelrent@france-auto.net
UCAR RENNES OUEST;220; Route de Lorient; 35000 ;02 99 59 03 03;ucar@adequat-rennes.fr
UCAR RENNES RELAIS AEROPORT;Service de relais AEROPORT-AGENCE; 35000; RENNES;02 99 59 03 03;ucar@adequat-rennes.fr
UCAR RENNES RELAIS GARE TGV;Service de relais GARE TGV-AGENCE; 35000; RENNES;02 99 59 03 03;ucar@adequat-rennes.fr
UCAR RENNES EST- CESSON;12 Rue de Bray; 35510; CESSON SEVIGNE;02 99 26 16 16;ucar.cesson@adequat-rennes.fr
UCAR CHATEAUROUX CENTRE;41-43 Boulevard des Marins; 36000; CHATEAUROUX;02 54 27 54 27;chateauroux@ucar.fr
UCAR TOURS NORD;288 Av André Maginot; Auchan; 37100;02 47 54 20 76;tours@ucar.fr
UCAR TOURS SUD CHAMBRAY;44 Avenue du Grand Sud; 37170; TOURS SUD CHAMBRAY;02 47 48 28 88;chambray@ucar.fr
OPEL RENT TOURS NORD;211 Bd Général de Gaulle; 37540; SAINT CYR SUR LOIRE;02 47 49 14 12;opelrentstcyr@pgamotors.com
OPEL RENT TOURS SUD;ZI de la Vrillonnerie ; 37170; CHAMBRAY LES TOURS;02 47 28 82 90;tasarent@pgamotors.com
UCAR BOURGOIN JALLIEU;29 Route de lyon; 38300; BOURGOIN-JALLIEU;04 37 03 46 74;bourgoin@votreagenceucar.fr
UCAR RELAIS ST EXUPE. AEROPORT;Service relais AEROPORT-AGENCE; 38300; BOURGOIN-JALLIEU;04 37 03 46 74;bourgoin@votreagenceucar.fr
UCAR BLOIS;76 Avenue Vendome; 41000; BLOIS;02 54 43 48 22;blois@ucar.fr
UCAR ROANNE LE COTEAU;187 av de la Libération; 42120; LE COTEAU;04 77 69 68 75;ucarroanne@orange.fr
UCAR ST ETIENNE;62 Boulevard Fauriat; 42000; SAINT ETIENNE;04 77 25 50 00;ucarstetienne@orange.fr
OPEL RENT SAINT ETIENNE;Rue Verney Carron; 42000; SAINT ETIENNE;04 77 91 04 00;opelrent@bougault-sa.fr
UCAR NANTES BD JULES VERNE;174 boulevard Jules Verne; 44300; NANTES;02 40 50 70 24;nantes.julesverne@votreagenceucar.fr
UCAR NANTES REZE;Zone Atout Sud 24 rue Abbé Grégoire; 44400; REZE;02 40 75 28 00;contact@ucar-nantes.fr
UCAR RELAIS TRAM HALUCHERE;Service de relais TRAM-AGENCE; 44300; NANTES;02 40 50 70 24;nantes.julesverne@votreagenceucar.fr
UCAR NANTES - SAINT-HERBLAIN;28 rue Olympe de Gouges; 44800 ; SAINT-HERBLAIN;02 28 27 59 85;contact@ucar-nantes.fr
UCAR NANTES RTE DE RENNES;190 Route de Rennes; 44300; NANTES;02 40 40 16 06;contact@ucar-nantes.fr
UCAR RELAIS GARE NANTE NORD;Service de relais GARE-AGENCE; 44300; NANTES;02 40 50 70 24;nantes.julesverne@votreagenceucar.fr
UCAR RELAIS GARE-SUD-NANTES;Service de relais GARE-SUD-AGENCE; 44000; REZE;02 40 75 28 00;contact@ucar-nantes.fr
UCAR RELAIS AEROPORT NANTES;Service de relais AEROPORT-AGENCE; 44000; REZE;02 40 75 28 00;contact@ucar-nantes.fr
UCAR LA CHAPELLE BASSE MER;18 Rue Jean Monnet ZA de la sensive; 44450 ; LA CHAPELLE BASSE MER;02 40 06 07 02;sarltavernierauto@orange.fr
UCAR VALLET;4 rue de la grd Perriere Zi des Dorices ; 44330; VALLET;02 40 80 32 82;ucar.lepallet@wanadoo.fr
OPEL RENT NANTES;360 Route de Vannes; 44703; ORVAULT;02 40 67 68 04;cfreulon@bsa-atlantique.com
UCAR ORLEANS-OLIVET;1066 Rue Bergeresse; 45160; OLIVET;02 38 64 13 13;olivet@ucar.fr
